Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
LAMB4		ENSG00000091128	Laminin, beta 4	7	108023548-108130356	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA020242, HPA024247	Uncertain				Tissue enriched	11	skin: 25.0	placenta: 2.3
LAMC1	LAMB2	ENSG00000135862	Laminin, gamma 1 (formerly LAMB2)	1	183023460-183145592	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001908, HPA001909, CAB004486	Supportive		Uncertain	Endoplasmic reticulum, Vesicles	Expressed in all			placenta: 155.8
LAMC2	BM600-100kDa, EBR2, EBR2A, kalinin-105kDa, LAMB2T, LAMNB2, nicein-100kDa	ENSG00000058085	Laminin, gamma 2	1	183186238-183244900	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004257, HPA024638	Supportive		Uncertain	Cytoplasm	Tissue enhanced	0	fallopian tube: 36.9	lung: 24.5
LAMC3	DKFZp434E202	ENSG00000050555	Laminin, gamma 3	9	131009082-131094473	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA022814	Uncertain				Tissue enhanced	0	placenta: 57.2	testis: 18.4
LAMP3	CD208, DC-LAMP, DCLAMP, LAMP, TSC403	ENSG00000078081	Lysosomal-associated membrane protein 3	3	183122213-183163839	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025133, HPA051467	Supportive				Tissue enriched	6	lung: 190.1	appendix: 29.7
LAT	LAT1	ENSG00000213658	Linker for activation of T cells	16	28984826-28990783	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002223, HPA011157, CAB012978	Supportive		Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	lymph node: 54.3	tonsil: 23.6
LAT2	HSPC046, LAB, NTAL, WBSCR15, WBSCR5, WSCR5	ENSG00000086730	Linker for activation of T cells family, member 2	7	74199652-74229834	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003462	Supportive				Tissue enhanced	0	tonsil: 44.8	lymph node: 42.2
LBP	BPIFD2	ENSG00000129988	Lipopolysaccharide binding protein	20	38346356-38377023	Plasma proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001508, CAB025905	Uncertain		Uncertain	Nucleus but not nucleoli, Vesicles	Group enriched	5	adipose tissue: 41.2;liver: 181.2	appendix: 20.5
LCAT		ENSG00000213398	Lecithin-cholesterol acyltransferase	16	67939750-67944131	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044767	Uncertain		Uncertain	Nucleus but not nucleoli	Expressed in all			liver: 77.5
LCN1	MGC71975, PMFA, TLC, TP, VEGP	ENSG00000160349	Lipocalin 1	9	135521438-135526532	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	7	fallopian tube: 1.8	heart muscle: 0.2
LCN10		ENSG00000187922	Lipocalin 10	9	136738167-136743356	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA055919	Uncertain				Mixed			smooth muscle: 1.4
LCN12	MGC48935	ENSG00000184925	Lipocalin 12	9	136949551-136955497	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA024680	Uncertain				Tissue enhanced	0	fallopian tube: 1.0;thyroid gland: 0.8	liver: 0.3
LCN15	PRO6093, UNQ2541	ENSG00000177984	Lipocalin 15	9	136759634-136766255	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA060584	Uncertain				Tissue enhanced	0	colon: 2.8;duodenum: 9.4;small intestine: 2.9	rectum: 1.7
LCN2	24p3, NGAL	ENSG00000148346	Lipocalin 2	9	128149071-128153455	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002695, CAB016549, CAB016550	Supportive				Tissue enhanced	0	bone marrow: 1466.7;gallbladder: 2215.8	urinary bladder: 871.6
LCN6		ENSG00000267206	Lipocalin 6	9	136744011-136748528	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Mixed			smooth muscle: 3.4
LCN8	LCN5	ENSG00000204001	Lipocalin 8	9	136754386-136758543	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027491	Uncertain				Not detected			tonsil: 0.4
LCN9		ENSG00000148386	Lipocalin 9	9	135663322-135666422	Predicted secreted proteins	Evidence at transcript level	No evidence	Evidence at transcript level							Not detected			adipose tissue: 0.0
LCORL	FLJ30696, MLR1	ENSG00000178177	Ligand dependent nuclear receptor corepressor-like	4	17841199-18021876	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA028794, HPA028795, HPA060033	Supportive		Supportive	Nucleus but not nucleoli, Nuclear membrane	Expressed in all			small intestine: 6.9
LDLR	LDLCQ2	ENSG00000130164	Low density lipoprotein receptor	19	11089362-11133816	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA009647, HPA013159	Uncertain		Uncertain		Expressed in all			adrenal gland: 48.3
LDLRAD2		ENSG00000187942	Low density lipoprotein receptor class A domain containing 2	1	21812265-21825221	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA030478	Uncertain				Mixed			duodenum: 1.0
LEAP2	LEAP-2	ENSG00000164406	Liver expressed antimicrobial peptide 2	5	132872322-132875046	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA035750	Uncertain				Tissue enriched	7	liver: 43.8	small intestine: 5.8
LECT2	chm-II, chm2	ENSG00000145826	Leukocyte cell-derived chemotaxin 2	5	135922279-135955034	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA043883	Uncertain				Tissue enriched	35	liver: 170.9	testis: 4.8
LEFTY1	LEFTB, LEFTYB	ENSG00000243709	Left-right determination factor 1	1	225886282-225911382	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA047883, HPA056210	Uncertain				Group enriched	6	colon: 62.8;pancreas: 18.6;rectum: 25.3	appendix: 5.8
LEFTY2	EBAF, LEFTA, LEFTYA, TGFB4	ENSG00000143768	Left-right determination factor 2	1	225936598-225941489	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB025801, HPA047883, HPA056210	Uncertain				Tissue enhanced	0	endometrium: 141.0;smooth muscle: 35.1	ovary: 17.8
LEP	OB, OBS	ENSG00000174697	Leptin	7	128241284-128257628	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB010490, CAB016730, HPA030721	Uncertain				Tissue enriched	45	adipose tissue: 210.5	placenta: 4.6
LEPRE1	GROS1, LEPRECAN, MGC117314, P3H1	ENSG00000117385	Leucine proline-enriched proteoglycan (leprecan) 1	1	42746335-42767084	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012113, HPA016980	Supportive		Uncertain	Vesicles, Nucleoli	Expressed in all			placenta: 29.1
LEPREL1	FLJ10718, MLAT4, P3H2	ENSG00000090530	Leprecan-like 1	3	189956728-190122437	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007890, HPA013355	Supportive				Mixed			prostate: 38.9
LEPREL2	GRCB, HSU47926, P3H3	ENSG00000110811	Leprecan-like 2	12	6828410-6839851	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Mixed			prostate: 3.3
LEPREL4	NO55, SC65	ENSG00000141696	Leprecan-like 4	17	41801947-41812604	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA022520, HPA057287	Uncertain				Mixed			thyroid gland: 11.5
LFNG	SCDO3	ENSG00000106003	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	7	2512529-2529177	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA069130	Uncertain				Expressed in all			skin: 41.1
LGALS3BP	90K, BTBD17B, CyCAP, gp90, M2BP, MAC-2-BP, TANGO10B	ENSG00000108679	Lectin, galactoside-binding, soluble, 3 binding protein	17	78971238-78980109	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000554, CAB002158	Supportive		Uncertain	Nucleus but not nucleoli, Vesicles	Expressed in all			stomach: 229.1
LGI1	EPITEMPIN, EPT, ETL1, IB1099	ENSG00000108231	Leucine-rich, glioma inactivated 1	10	93757885-93798159	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	7	cerebral cortex: 23.0	esophagus: 3.0
LGI2	FLJ10675, KIAA1916	ENSG00000153012	Leucine-rich repeat LGI family, member 2	4	24998847-25030879	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA017140	Uncertain		Uncertain	Centrosome	Mixed			smooth muscle: 11.4
LGI3		ENSG00000168481	Leucine-rich repeat LGI family, member 3	8	22146825-22157084	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA024826			Uncertain	Cytoplasm	Group enriched	5	cerebral cortex: 35.3;lung: 17.1;skin: 10.5;thyroid gland: 12.2	esophagus: 3.7
LGI4		ENSG00000153902	Leucine-rich repeat LGI family, member 4	19	35124513-35142451	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA042116, HPA043556	Uncertain				Mixed			adipose tissue: 16.4
LGMN	LGMN1, PRSC1	ENSG00000100600	Legumain	14	92703807-92748702	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000799, HPA001426	Supportive		Uncertain	Cytoplasm	Expressed in all			placenta: 226.8
LGR4	GPR48	ENSG00000205213	Leucine-rich repeat containing G protein-coupled receptor 4	11	27365961-27472775	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030267	Uncertain				Expressed in all			kidney: 33.8
LHB	CGB4, hLHB, LSH-B	ENSG00000104826	Luteinizing hormone beta polypeptide	19	49015980-49017090	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA038925, HPA038934	Uncertain		Uncertain	Cytoplasm	Tissue enhanced	0	pancreas: 2.6	testis: 1.2
LHCGR	HHG, LCGR, LGR2, LHR, ULG5	ENSG00000138039	Luteinizing hormone/choriogonadotropin receptor	2	48686775-48755730	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009814	Uncertain				Tissue enhanced	0	testis: 2.4	ovary: 1.0
LIF	CDF, DIA, HILDA	ENSG00000128342	Leukemia inhibitory factor	22	30240447-30246851	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA018844, CAB025985	Uncertain		Supportive	Cytoplasm	Tissue enhanced	0	gallbladder: 37.2;urinary bladder: 28.7	appendix: 15.6
LIFR	CD118	ENSG00000113594	Leukemia inhibitory factor receptor alpha	5	38474963-38608354	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004478, CAB010252, HPA064147	Uncertain		Supportive	Nucleus but not nucleoli	Mixed			adipose tissue: 35.9
LILRA1	CD85i, LIR-6, LIR6	ENSG00000104974	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	19	54573879-54602090	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	appendix: 7.7;spleen: 6.8	bone marrow: 1.6
LILRA2	CD85h, ILT1, LIR-7, LIR7	ENSG00000239998	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	19	54572920-54587560	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	bone marrow: 31.2;spleen: 19.2	appendix: 13.3
LILRA6	CD85b, ILT8, LILRB6	ENSG00000244482	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	19	54216868-54242800	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	appendix: 13.0	placenta: 4.1
LILRB1	CD85, CD85j, ILT2, LIR-1, LIR1, MIR-7	ENSG00000104972	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	19	54573879-54700954	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level		Evidence at protein level						Tissue enhanced	0	appendix: 41.3;spleen: 30.5	lymph node: 17.5
LILRB3	CD85a, HL9, ILT5, LIR-3, LIR3	ENSG00000204577	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	19	54216278-54223506	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	appendix: 20.2	spleen: 12.7
LIME1	dJ583P15.4, FLJ20406, LIME	ENSG00000203896	Lck interacting transmembrane adaptor 1	20	63736283-63739103	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB015363	Uncertain				Tissue enhanced	0	kidney: 18.2;liver: 16.2;stomach: 16.4	spleen: 9.1
LINGO1	FLJ14594, LERN1, LRRN6A	ENSG00000169783	Leucine rich repeat and Ig domain containing 1	15	77613027-77820900	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	9	cerebral cortex: 62.6	placenta: 7.1
LIPA	CESD, LAL	ENSG00000107798	Lipase A, lysosomal acid, cholesterol esterase	10	89213569-89414557	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB034892, HPA057052	Supportive				Expressed in all			spleen: 255.4
LIPC	HL, HTGL	ENSG00000166035	Lipase, hepatic	15	58410569-58569843	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	19	liver: 95.0	kidney: 5.1
LIPF	HGL, HLAL	ENSG00000182333	Lipase, gastric	10	88664441-88678814	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045930	Supportive				Tissue enriched	87	stomach: 17845.5	duodenum: 205.3
LIPG	EDL	ENSG00000101670	Lipase, endothelial	18	49560699-49599182	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA016966	Uncertain				Group enriched	12	placenta: 119.9;thyroid gland: 236.7	appendix: 14.2
LIPH	LPDLR, mPA-PLA1, mPA-PLA1alpha, PLA1B	ENSG00000163898	Lipase, member H	3	185506262-185552613	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA049079	Uncertain		Uncertain		Tissue enhanced	0	rectum: 31.6;stomach: 34.7	colon: 29.1
LIPK	bA186O14.2, LIPL2	ENSG00000204021	Lipase, family member K	10	88724544-88752786	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	29	skin: 8.6	esophagus: 0.2
LIPM	bA304I5.1, LIPL3	ENSG00000173239	Lipase, family member M	10	88802730-88820546	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	15	skin: 15.2	stomach: 0.9
LIPN	bA186O14.3, LIPL4	ENSG00000204020	Lipase, family member N	10	88761406-88778242	Disease related genes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA039997	Uncertain				Tissue enriched	6	skin: 10.3	appendix: 1.7
LMAN2	C5orf8, GP36B, VIP36	ENSG00000169223	Lectin, mannose-binding 2	5	177331562-177351852	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003927	Uncertain				Expressed in all			thyroid gland: 99.8
LMNTD1	FLJ36004, IFLTD1, Pas1c1	ENSG00000152936	Lamin tail domain containing 1	12	25409307-25648579	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045911	Uncertain				Group enriched	9	fallopian tube: 15.4;testis: 5.8	lung: 1.1
LNX1	LNX, MPDZ, PDZRN2	ENSG00000072201	Ligand of numb-protein X 1, E3 ubiquitin protein ligase	4	53459301-53701405	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA002235	Uncertain				Mixed			esophagus: 22.0
LOX		ENSG00000113083	Lysyl oxidase	5	122063195-122078285	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA053389			Uncertain	Nucleus but not nucleoli, Cytoplasm	Mixed			adipose tissue: 19.0
LOXL1	LOL, LOXL	ENSG00000129038	Lysyl oxidase-like 1	15	73925989-73952137	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042111, HPA063583	Uncertain		Uncertain	Endoplasmic reticulum	Mixed			heart muscle: 7.8
LOXL2	WS9-14	ENSG00000134013	Lysyl oxidase-like 2	8	23297189-23425328	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB025848, HPA036257, HPA056542	Uncertain		Uncertain	Nucleus but not nucleoli	Mixed			smooth muscle: 33.4
LOXL3		ENSG00000115318	Lysyl oxidase-like 3	2	74532414-74555690	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035281	Uncertain				Mixed			placenta: 13.2
LOXL4	FLJ21889, LOXC	ENSG00000138131	Lysyl oxidase-like 4	10	98247690-98268250	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB033876, HPA037609	Uncertain				Mixed			fallopian tube: 7.5
LPA	LP	ENSG00000198670	Lipoprotein, Lp(a)	6	160531483-160664259	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016072, HPA060604	Supportive				Tissue enriched	31	liver: 19.7	kidney: 0.6
LPL	LIPD	ENSG00000175445	Lipoprotein lipase	8	19901717-19967258	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048749			Uncertain	Vesicles	Group enriched	9	adipose tissue: 642.2;heart muscle: 196.5	lung: 47.6
LPO	SPO	ENSG00000167419	Lactoperoxidase	17	58218548-58268518	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028688	Supportive				Tissue enriched	552	salivary gland: 426.4	testis: 0.7
LRAT	LCA14	ENSG00000121207	Lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	4	154626945-154753118	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA008397	Uncertain				Tissue enhanced	0	small intestine: 1.2;thyroid gland: 1.3	duodenum: 0.7
LRCH3	MGC4126	ENSG00000186001	Leucine-rich repeats and calponin homology (CH) domain containing 3	3	197791226-197888436	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012380, HPA017299	Uncertain		Supportive	Cytoplasm	Expressed in all			tonsil: 16.7
LRCOL1		ENSG00000204583	Leucine rich colipase-like 1	12	132603150-132610543	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	liver: 0.5;lung: 0.5	fallopian tube: 0.3
LRFN4	FIGLER6, MGC3103, SALM3.	ENSG00000173621	Leucine rich repeat and fibronectin type III domain containing 4	11	66856647-66860475	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Mixed			adipose tissue: 4.9
LRFN5	C14orf146, FIGLER8, SALM5	ENSG00000165379	Leucine rich repeat and fibronectin type III domain containing 5	14	41607570-41904549	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001177	Uncertain				Tissue enhanced	0	cerebral cortex: 7.7	fallopian tube: 4.1
LRG1	LRG	ENSG00000171236	Leucine-rich alpha-2-glycoprotein 1	19	4536409-4540474	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001888, HPA001889	Supportive				Tissue enriched	9	liver: 150.1	esophagus: 17.3
LRP1	A2MR, APOER, APR, CD91, LRP, LRP1A	ENSG00000123384	Low density lipoprotein receptor-related protein 1	12	57128493-57213351	Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004182, CAB018621, HPA022903	Supportive		Supportive	Nucleoli, Cytoplasm	Expressed in all			adipose tissue: 77.6
LRP11	bA350J20.3, MANSC3	ENSG00000120256	Low density lipoprotein receptor-related protein 11	6	149818798-149864026	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA064002			Uncertain	Mitochondria	Expressed in all			prostate: 25.1
LRP1B	LRP-DIT, LRPDIT	ENSG00000168702	Low density lipoprotein receptor-related protein 1B	2	140231423-142131701	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA069094	Uncertain				Group enriched	5	cerebral cortex: 8.6;thyroid gland: 4.4	adipose tissue: 1.2
LRP2	DBS, gp330	ENSG00000081479	Low density lipoprotein receptor-related protein 2	2	169127109-169362685	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005980, HPA064792	Supportive		Uncertain	Mitochondria, Vesicles	Group enriched	8	kidney: 35.1;placenta: 8.8;thyroid gland: 17.8	cerebral cortex: 2.6
LRP4	CLSS, LRP-4, MEGF7, SOST2	ENSG00000134569	Low density lipoprotein receptor-related protein 4	11	46856868-46918642	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011934, HPA012300	Supportive		Uncertain	Nucleus, Nucleoli, Mitochondria	Tissue enhanced	0	cerebral cortex: 17.5;skin: 20.8	stomach: 7.2
LRPAP1	A2MRAP, HBP44	ENSG00000163956	Low density lipoprotein receptor-related protein associated protein 1	4	3506376-3532559	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008001, CAB025518	Supportive	Supportive	Supportive	Endoplasmic reticulum	Expressed in all			placenta: 10.0
LRRC17	H_RG318M05.3, P37NB	ENSG00000128606	Leucine rich repeat containing 17	7	102912991-102944949	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA030139	Uncertain		Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm	Tissue enhanced	0	ovary: 65.2	gallbladder: 27.1
LRRC32	D11S833E, GARP	ENSG00000137507	Leucine rich repeat containing 32	11	76657524-76670747	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA065439	Uncertain				Expressed in all			placenta: 42.9
LRRC3B	LRP15	ENSG00000179796	Leucine rich repeat containing 3B	3	26622806-26710776	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA015568	Uncertain				Group enriched	6	cerebral cortex: 9.1;skeletal muscle: 2.7;testis: 4.9	endometrium: 0.9
LRRC4B	DKFZp761A179, HSM, LRIG4	ENSG00000131409	Leucine rich repeat containing 4B	19	50516892-50568045	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA058986	Uncertain				Tissue enhanced	0	cerebral cortex: 22.5	placenta: 4.5
LRRC70	LOC100130733, SLRN	ENSG00000186105	Leucine rich repeat containing 70	5	62578735-62581448	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA013409	Uncertain				Mixed			thyroid gland: 3.5
